Acres_Burned,Cal_Fire_Incident,Latitude,Longitude,Unique_ID,Month,Year
73.0,True,34.003151,-117.106075,31f21c59-8a94-4b17-91aa-88ca14817162,9,2013
73.0,True,39.206,-121.31634,397ed8e6-6088-4e03-9316-8f50c65a83be,7,2013
72.0,True,0.0,0.0,c6228c11-4388-4b33-aa18-3593c90f72ad,5,2013
70.0,True,39.013682,-122.491894,ae025ba5-8b5d-48de-ad5e-3037de3d18e9,8,2013
68.0,False,41.569,-120.959,0875cf4e-9948-45ed-a76d-d74564319b49,9,2013
64.0,True,34.384,-119.13249,0adb968c-eb85-41c5-8e08-04c0ec386c79,11,2013
60.0,False,38.838,-116.61,ac568737-dae6-4050-b1f4-62ab1f9ec930,8,2013
60.0,True,33.91027,-116.99895,0658b1f8-5323-4152-b6d1-b208736587db,8,2013
52.0,True,39.333401,-121.107022,1476673c-df55-4c39-b117-d9d067f8a020,8,2013
51.0,True,35.457978,-120.751555,587c03e3-4831-47c1-8c03-c08176e91b11,11,2013
50.0,True,39.0448,-122.7656,3f3e234c-04e1-4941-a79f-23ddc419bf59,11,2013
50.0,True,41.923323,-122.578393,e16c204e-58d6-4f78-bc97-729b16ef9f83,8,2013
50.0,True,37.1438,-121.7804,e779a754-29fd-472f-8d29-46cfee32d3c2,7,2013
50.0,True,37.7393,-121.5869,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,7,2013
50.0,True,35.5123,-120.6368,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,5,2013
46.0,True,38.06231,-120.45233,10445e2c-979d-49a2-82c2-c3789bd2449a,8,2013
46.0,True,37.03087,-119.463757,15e7e15d-f707-473e-b0f3-6534cfd845b7,6,2013
45.0,True,38.980846,-123.067671,f1d7f375-8aa3-4cb5-a864-bae9bb90cbd1,7,2013
44.0,False,0.0,0.0,cbb685c8-df00-4cdf-8925-7239fa21a049,12,2013
43.0,True,40.373,-122.7338,3f64fc8a-8870-4e64-b60a-3e13c8532acd,7,2013
42.0,True,33.96936,-117.1265,e9505435-e861-4f33-9069-b0040fb2a135,6,2013
41.0,True,37.667295,-122.427285,b30ee931-f349-4d21-a38a-d346c516b104,9,2013
40.0,True,37.342186,-121.717706,7a168690-06e5-4056-97c8-73b834204744,12,2013
40.0,True,33.7655,-117.6649,9a110003-2f4c-4ac7-a3e5-b4e713f8d1fe,10,2013
40.0,True,0.0,0.0,487a3f42-fd84-4598-bc48-130ad241c883,9,2013
40.0,True,33.570291,-116.10815,f23f8148-6ec4-4885-9729-0dad7c744485,8,2013
40.0,True,0.0,0.0,0e197989-042e-4c73-8820-f98e0b6fdd52,7,2013
40.0,True,33.9634,-117.2508,8fb3a438-3146-4b8d-8f20-bfa8d6610f84,7,2013
40.0,True,34.001745,-117.302057,2d1f0c40-92e7-4540-991b-d353ed68ec6c,6,2013
40.0,True,33.655638,-116.161201,e215290f-d0b4-48fd-be32-f599959347b1,5,2013
38.0,True,38.89555,-120.84716,fea7802f-ba70-450a-9ad1-96e2751293a9,8,2013
38.0,True,39.1591,-122.5906,b5b63934-923d-4504-a9b1-75c885477a8d,8,2013
38.0,True,37.74241,-121.86216,4c04a4e5-f580-4e62-bb53-2575c72d29dc,7,2013
35.0,True,36.763367,-119.558244,953f17a1-2034-467b-b48c-28da1a9af60e,6,2013
35.0,True,35.49864,-120.91375,f17c523c-bf01-4245-899b-7c2331096dae,5,2013
34.0,True,0.0,0.0,15dc8848-9380-40a8-86b7-2b783be8f29d,8,2013
33.0,True,40.483662,-122.140914,29a2efda-c28f-4a41-9c6d-8cb8f763d464,11,2013
31.0,True,37.965364,-120.696362,68dadbb3-6a63-483a-add9-491a69d9e0ad,7,2013
30.0,True,38.9777,-122.683,51e00abb-53d0-4014-9224-2a853b1d6bcf,9,2013
30.0,True,38.99233,-122.703193,dcb21e64-9d38-47c2-848b-e8e0dea5c2de,6,2013
30.0,False,34.288877,-116.941311,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,4,2013
28.0,True,38.4229,-122.0437,5ce45b6c-81b5-422c-9078-8c68dd872c8a,6,2013
28.0,True,38.4229,-122.0437,5ce45b6c-81b5-422c-9078-8c68dd872c8a,6,2013
28.0,True,38.4229,-122.0437,5ce45b6c-81b5-422c-9078-8c68dd872c8a,6,2013
28.0,True,38.4229,-122.0437,5ce45b6c-81b5-422c-9078-8c68dd872c8a,6,2013
27.0,True,40.473356,-122.48259,0537a175-8fe9-4f5f-b56f-77848fa195f4,8,2013
25.0,True,32.612773,-116.707335,c6cfeed9-55bb-4fdb-8a52-e4d947dba721,7,2013
25.0,True,38.98058,-122.81796,d489b45e-dcba-4eaa-8bb5-6a23255562da,6,2013
25.0,True,33.96201,-116.907213,a60e315c-23d5-4ba4-869c-5c1e22a25e7a,5,2013
23.0,True,38.9289,-122.5818,720f1d0a-81b7-4a00-85db-be3d9587ea3e,11,2013
15.0,True,0.0,0.0,23d84ebe-9c31-4e3c-b0ad-b23aa510abeb,12,2013
15.0,True,33.94528,-117.09306,2b300dd5-4474-4b8a-9b4c-3a3014afe27d,7,2013
15.0,True,0.0,0.0,3ddf82b4-0631-4148-807e-181277adeca5,5,2013
0.0,False,41.333,-123.376,7d4f107b-66a9-43d2-819d-ec855c2947bf,8,2013
0.0,False,33.99647,-116.84137,befb9d5c-c0ea-48b8-8589-2586be0275af,6,2013
97717.0,True,38.805437,-120.629714,3df6ecf7-f095-483d-b1c4-2dc969d61261,9,2014
50042.0,False,0.0,0.0,550c60e9-6b15-4e64-bf4b-9bd5d1cb359d,8,2014
39736.0,True,40.901,-121.368,045a1a18-72e4-4579-b64c-f34b33a1031b,7,2014
35302.0,True,42.048,-122.345,3b2609f0-b3a2-493c-bf66-c5b5f64409f8,7,2014
32496.0,False,0.0,0.0,30702a48-f9b0-44c3-8ddb-acc837bc6a34,7,2014
32416.0,True,40.72,-121.562,60ea04ec-5f5e-4a49-8fbc-fa50c17a1199,7,2014
14416.0,False,0.0,0.0,2a3d56c7-2ba7-4f83-8e69-7ae9bab18b71,5,2014
13838.0,False,0.0,0.0,61c14593-8614-4365-afa7-264fcaa6ea2a,7,2014
13153.0,True,41.1336,-121.2144,e3b7143d-6faa-4962-9fe5-c2d1559c5d20,7,2014
12661.0,True,40.4314,-122.750788,3a1fab73-882a-478c-b289-504497db4d64,7,2014
12536.0,True,0.0,0.0,7c6a9617-1c79-4b4d-9833-e76532f59103,7,2014
6488.0,True,38.512,-122.104,756d8f5b-bc05-4741-a5a3-3b20ca21906d,7,2014
6258.0,False,41.141,-122.805,9d3fb01e-c29e-436a-82f8-c110a0b35179,7,2014
5503.0,True,41.682,-122.127,59a31adf-4f31-4bf6-a6c6-fe62d2d2587f,7,2014
5367.0,False,33.3529,-117.284889,2b35bd0d-169f-4a81-835b-13bf527031a6,5,2014
4840.0,False,0.0,0.0,e54fa953-24b9-4581-86f3-9931fdf3ca5e,6,2014
4772.0,False,0.0,0.0,8bc9d00d-5f81-4a73-b14f-8145890c8d50,8,2014
4689.0,False,0.0,0.0,3383fa93-aaf8-4f81-a980-5ba86b893039,7,2014
4300.0,True,38.664,-122.454,2437bb57-1d09-4892-8c26-a60661dae1d9,7,2014
4300.0,True,38.664,-122.454,2437bb57-1d09-4892-8c26-a60661dae1d9,7,2014
4240.0,True,38.5691,-120.7819,4d07ccc3-32be-4a1d-acac-18333884c97d,7,2014
4240.0,True,38.5691,-120.7819,4d07ccc3-32be-4a1d-acac-18333884c97d,7,2014
4045.0,False,35.7206,-118.4747,4b281a55-65b6-43e8-bab2-3689356d82e5,8,2014
3895.0,False,35.70683,-118.555527,8ede9823-938e-4786-97b8-a0f42b852cb2,6,2014
2143.0,True,34.169346,-117.547374,13bfff2c-cb2f-4ed9-a7f8-6985646a2d5d,4,2014
1995.0,True,33.1137,-117.1599,1b1cba8f-7893-4eea-82d9-dc78663fd911,5,2014
1952.0,False,34.1703,-117.8816,1fe0ea01-23e8-47a1-8fbd-ced6cf655e4d,1,2014
1680.0,False,35.642,-118.15,45abd556-f41f-4507-91a5-1cf2f751bb4c,7,2014
1651.0,False,41.89,-120.79,8f48a8a9-facf-49e8-92dc-ea1147e53792,7,2014
1548.0,True,33.003,-117.133,9e5ee790-ee7e-4b40-b300-7a3046901162,5,2014
1469.0,True,41.489,-120.904,00089805-cdee-4607-8b67-1653bee463bc,7,2014
1457.0,False,33.417572,-117.550567,b0b5efed-3edc-4a4b-97c8-95a79d12d0c6,5,2014
1375.0,True,40.7101,-122.171,b22e378f-bfbc-40b8-aaa7-29ec6db13db1,9,2014
1080.0,False,0.0,0.0,c7f39aa9-394d-4d19-bcd9-a8ee4f036e01,7,2014
968.0,False,33.748,-117.601,568ea489-caa1-43c3-928a-9d0b836c0c54,9,2014
865.0,False,40.134597,-121.790183,353e7df7-440c-4c41-a27c-b35bb1e2831c,1,2014
677.0,True,0.0,0.0,8d3451be-f3be-4a8b-b747-ab121f0d52cb,5,2014
632.0,True,34.609,-120.454,d08b0c4e-35d3-43fb-8af8-1756b1789172,5,2014
